recipient_name,cleaned_names,exclude,Notes
"DIAGEO NORTH AMERICA, INC. EMP. PPC",DIAGEO NORTH AMERICA INC EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE,y,
"DIAGEO NORTH AMERICA, INC. EMPLOYEES POLITICAL PARTICIPATION COMMITTEE",DIAGEO NORTH AMERICA INC EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE,y,
DIAGEO NORTH AMERICA EMPLOYEES PAC,DIAGEO NORTH AMERICA EMPLOYEES PAC,y,
DIAGEO NA,DIAGEO NA,,
DIAGEO N.A. INC. EMPLOYEES POLITICAL PARTICIPATION,DIAGEO N.A. INC. EMPLOYEES POLITICAL PARTICIPATION,y,
DIAGEO HOUSE,DIAGEO HOUSE,,
DIAGEO,DIAGEO,,
DI PASQUALES DELI,DI PASQUALES DELI,,
DGS DELICATESSEN,DGS DELICATESSEN,,
DGS DELI,DGS DELI,,
DGDB KITCHEN AND BAR,DGDB KITCHEN AND BAR,,
DGBG KITCHEN,DGBG KITCHEN,,
DF GRILLE,DF GRILLE,,
DEVOUR CATERING,DEVOUR CATERING COMPANY,,
DEVOUR CATERING COMPANY,DEVOUR CATERING COMPANY,,
DEVOUR CATERING LLC,DEVOUR CATERING COMPANY,,
"DEVOUR CATERING, LLC",DEVOUR CATERING COMPANY,,
DEVOUR,DEVOUR,,
DEVON AND BLAKELY IV,DEVON AND BLAKELY IV,,
DEVON AND BLAKELY,DEVON AND BLAKELY,,
DEVON & BLAKLEY,DEVON & BLAKLEY,,
DEVON & BLAKELY CATERING,DEVON & BLAKELY CATERING,,
DEVON & BLAKELY 6500,DEVON & BLAKELY 6500,,
DEVON & BLAKELY,DEVON & BLAKELY,,
DEVON & BLAKELEY,DEVON & BLAKELEY,,
DEVILS BACKBONE BREWING CO.,DEVILS BACKBONE BREWING CO.,,
DEVIL'S BACKBONE RESTAURANT,DEVIL'S BACKBONE RESTAURANT,,
DEVIL'S BACKBONE,DEVIL'S BACKBONE,,
DEVERS DESIGN GROUP INC,DEVERS DESIGN GROUP INC,y,
DEVERS DESIGN GROUP,DEVERS DESIGN GROUP,y,
DEVELOPWELL LLC,DEVELOPWELL LLC,,
DEUSENBERG'S AMERICAN CAFE AND GRILL,DEUSENBERG'S AMERICAN CAFE AND GRILL,,
"DETAILS CONSULTING, LLC","DETAILS CONSULTING, LLC",y,
DETAILS CATERING,DETAILS CATERING,,
DESUMO STRATEGIES,DESUMO STRATEGIES,y,
DESTINO,DESTINO,,
DESSERT RECEPTION,DESSERT RECEPTION,,
DESMOND,DESMOND,,
DESIGNS INCORPORATED,DESIGNS INCORPORATED,y,
DESIGNING FLOWERS,DESIGNING FLOWERS,y,
DESIGN MARKETING,DESIGN MARKETING,y,
DESIGN LINE EMBROIDERY,DESIGN LINE EMBROIDERY,,
DESIGN FOUNDRY,DESIGN FOUNDRY,y,
DESIGN CUISINE,DESIGN CUSINE,,
DESIGN CUISINE (NATL FOOD ENTERPRISES INC,DESIGN CUSINE,,
DESIGN CUSINE,DESIGN CUSINE,,
DESIGNCUISINE,DESIGN CUSINE,,
DESHO PRODUCTIONS,DESHO PRODUCTIONS,,
DESERT SNACK BAR,DESERT SNACK BAR,,
DESALGNE ZEMA DESALG,DESALGNE ZEMA DESALG,,
DEREJE TESFAYE DEREJ,DEREJE TESFAYE DEREJ,,
DEPT. OF THE AIR FORCE,DEPT. OF THE AIR FORCE,y,
DEPT. OF AIR FORCE,DEPT. OF AIR FORCE,y,
DEPT OF ALCOHOLIC BEV CON,DEPT OF ALCOHOLIC BEV CON,y,
DEPOSITORY TRUST AND CLEARNING CORPORATION PAC,DEPOSITORY TRUST AND CLEARNING CORPORATION PAC,y,
DEPOSITORY TRUST AND CLEARING CORPORATION POLITICAL ACTION COMMITTEE (DTCC PAC),DEPOSITORY TRUST AND CLEARING CORPORATION POLITICAL ACTION COMMITTEE (DTCC PAC),y,
DEPOSITORY TRUST AND CLEARING CORPORATION PAC (DTCC PAC),DEPOSITORY TRUST AND CLEARING CORPORATION PAC (DTCC PAC),y,
DEPOSITORY TRUST AND CLEARING CORPORATION PAC - DTCC PAC; THE,DEPOSITORY TRUST AND CLEARING CORPORATION PAC  DTCC PAC; THE,y,
DEPOSITORY TRUST AND CLEARING CORPORATION PAC - DTCC PAC,DEPOSITORY TRUST AND CLEARING CORPORATION PAC  DTCC PAC,y,
DEPOSITORY TRUST AND CLEARING CORPORATION PAC,DEPOSITORY TRUST AND CLEARING CORPORATION PAC,y,
DEPOSITORY TRUST & CLEARING CORPORATION PAC,DEPOSITORY TRUST & CLEARING CORPORATION PAC,y,
DEPOSITORY TRUST & CLEARING CORP PAC,DEPOSITORY TRUST & CLEARING CORP PAC,y,
DEPARTMENT OF TREASURY,DEPARTMENT OF TREASURY,,
DEPARTMENT OF THE TREASURY,DEPARTMENT OF THE TREASURY,,
DEPARTMENT OF PARKS AND RECREATION,DEPARTMENT OF PARKS AND RECREATION,y,
DEPARTMENT OF LABOR,DEPARTMENT OF LABOR,,
DENTONS US LLP,DENTONS US LLP,y,
DENSON'S GROCERY,DENSON'S GROCERY,,
DENSON LIQUOR BAR,DENSON LIQUOR BAR,,
DENSON,DENSON,,
DENNY'S RESTAURANT,DENNY'S RESTAURANT,,
DENIZENS BREWING CO.,DENIZENS BREWING CO.,,
DENIZENS BREWING CO,DENIZENS BREWING CO,,
DENIM AND PEARLS,DENIM AND PEARLS,,
DEMPSEY'S,DEMPSEY'S,,
DEMOCRATS FOR EDUCATION REFORM,DEMOCRATS FOR EDUCATION REFORM,y,
DEMOCRATIC STATE CENTRAL COMMITTEE OF FREDERICK COUNTY,DEMOCRATIC STATE CENTRAL COMMITTEE OF FREDERICK COUNTY,y,
DEMOCRATIC SPOUSES FORUM,DEMOCRATIC SPOUSES FORUM,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC SCC OF FREDERICK CNTY,DEMOCRATIC SCC OF FREDERICK CNTY,,
DEMOCRATIC PROPERTIES CORPORATION,DEMOCRATIC PROPERTIES CORPORATION,y,
DEMOCRATIC PROPERTIES CORP,DEMOCRATIC PROPERTIES CORP.,y,
DEMOCRATIC PROPERTIES CORP.,DEMOCRATIC PROPERTIES CORP.,y,
DEMOCRATIC PARTY OF VIRGINIA,DEMOCRATIC PARTY OF VIRGINIA,,
DEMOCRATIC NATIONAL HEADQUARTERS,DEMOCRATIC NATIONAL HEADQUARTERS,,
DEMOCRATIC NATIONAL COMMITTEE - TRAVEL OFFSET ACCOUNT,DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCOUNT,y,
DEMOCRATIC NATIONAL COMMITTEE - TRAVEL-OFFSET ACCOUNT,DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCOUNT,y,
DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCOUNT,DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCOUNT,y,
DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCT.,DEMOCRATIC NATIONAL COMMITTEE TRAVEL OFFSET ACCOUNT,y,
DEMOCRATIC NATIONAL COMMITTEE  TRAVEL ESCROW ACCOUNT,DEMOCRATIC NATIONAL COMMITTEE  TRAVEL ESCROW ACCOUNT,y,
DEMOCRATIC NATIONAL COMMITTEE - FEDERAL FUND,DEMOCRATIC NATIONAL COMMITTEE  FEDERAL FUND,y,
DEMOCRATIC NATIONAL COMMITTEE,DEMOCRATIC NATIONAL COMMITTEE,y,
DEMOCRATIC NATIONAL COMM.,DEMOCRATIC NATIONAL COMM.,,
DEMOCRATIC ISSUES CONFERENCE,DEMOCRATIC ISSUES CONFERENCE,,
DEMOCRATIC GAIN,DEMOCRATIC GAIN,,
DEMOCRATIC CONGRESSSIONAL CAMPAIGN CTE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE DCCC,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE (DCCC),DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - FEDERAL FUND,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - CONTRIBUTIONS,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - CONT,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE   DCCC,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITEE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMM.,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMM,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN COM.,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONGRESSIONAL CAMP COMM,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMOCRATIC CONFERENCE LUNCHEON FUND,DEMOCRATIC CONFERENCE LUNCHEON FUND,y,
DEMOCRATIC CONFERENCE LUNCHEON,DEMOCRATIC CONFERENCE LUNCHEON,,
DEMOCRATIC CLUB OF OCEAN CITY/BERLIN,DEMOCRATIC CLUB OF OCEAN CITY/BERLIN,y,
DEMOCRATIC CLUB OF CAROLINE COUNTY,DEMOCRATIC CLUB OF CAROLINE COUNTY,y,
DEMOCRATIC CENTRAL COMMITTEE WORCESTER COUNTY,DEMOCRATIC CENTRAL COMMITTEE WORCESTER COUNTY,y,
DEMOCRATIC CAUCUS LUNCHEON FUND,DEMOCRATIC CAUCUS LUNCHEON FUND,y,
DEMOCRATIC CAUCUS LUNCHEON,DEMOCRATIC CAUCUS LUNCHEON FUND,y,
DEMOCRATIC CAUCUS LUNCH FUND,DEMOCRATIC CAUCUS LUNCHEON FUND,y,
DEMOCRATIC CANDIDATE CONFERENCE,DEMOCRATIC CANDIDATE CONFERENCE,,
DEMOCRATIC BUSINESS OF COUNCIL OF NORTHERN VIRGINIA,DEMOCRATIC BUSINESS OF COUNCIL OF NORTHERN VIRGINIA,y,
DEMOCRATIC BUSINESS COUNCIL OF NORTHERN VIRGINIA,DEMOCRATIC BUSINESS COUNCIL OF NORTHERN VIRGINIA,y,
DEMOCRATIC ASIAN AMERICANS OF VIRGINIA,DEMOCRATIC ASIAN AMERICANS OF VIRGINIA,y,
DEMOCRACY VINEYARDS,DEMOCRACY VINEYARDS,,
DEMOCRACY SUMMER LEADERSHIP PAC,DEMOCRACY SUMMER LEADERSHIP PAC,y,
DEMOCRACY PARTNERS,DEMOCRACY PARTNERS,,
DEMOCRACY IN ACTION,DEMOCRACY IN ACTION,y,
"DEMOCRACY ENGINE, INC., PAC","DEMOCRACY ENGINE, INC., PAC",y,
DEMOCRACY ENGINE LLC,DEMOCRACY ENGINE LLC,,
DEMOCRACY ALLIANCE,DEMOCRACY ALLIANCE,,
DEMOCRACTIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEMOCRATIC CONGRESSSIONAL CAMPAIGN COMMITTEE,y,
DEMATTEO MONNESS,DEMATTEO MONNESS,,
"DEMAND ELECTIONS, LLC","DEMAND ELECTIONS, LLC",y,
DEMAND ELECTIONS,DEMAND ELECTIONS,,
DELUXE RESTAURANT GROUP,DELUXE RESTAURANT GROUP,,
DELULLO & ASSOCIATES,"DELULLO & ASSOCIATES, LLC",y,
DELULLO & ASSOCIATES LLC,"DELULLO & ASSOCIATES, LLC",y,
"DELULLO & ASSOCIATES, LLC","DELULLO & ASSOCIATES, LLC",y,
DELTAVILLE MARKET,DELTAVILLE MARKET,,
DELTA HOTELS MARRIOTT,DELTA HOTELS MARRIOTT,,
DELTA HOTELS BY MARRIOTT RICHM,DELTA HOTELS BY MARRIOTT RICHM,,
DELTA HOTEL BY MARRIOTT,DELTA HOTEL BY MARRIOTT,,
"DELTA AIRLINES,INC.","DELTA AIRLINES,INC.",,
DELTA AIRLINES,DELTA AIRLINES,,
DELTA AIR LINES PAC,DELTA AIR LINES PAC,y,
DELTA AIR LINES,DELTA AIR LINES,,
DELTA,DELTA,,
DELOITTE SERVICES,DELOITTE SERVICES LLP,y,
DELOITTE SERVICES LLP,DELOITTE SERVICES LLP,y,
DELOITTE SERVICES LP,DELOITTE SERVICES LLP,y,
"DELOITTE SERVICES, LP",DELOITTE SERVICES LLP,y,
DELOITTE FEDERAL POLITICAL ACTION COMMITTEE,DELOITTE FEDERAL POLITICAL ACTION COMMITTEE,y,
DELOITTE FEDERAL PAC,DELOITTE FEDERAL PAC,y,
"DELOITTE CONSULTING, LLP","DELOITTE CONSULTING, LLP",y,
DELOITTE AND TOUCHE LLP,DELOITTE AND TOUCHE LLP,y,
DELOITTE,DELOITTE,,
DELMAR,DELMAR,,
DELI-ICIOUS,DELIICIOUS,,
DELI SOUTH,DELI SOUTH,,
DELI ITALIANO GREAT FALL,DELI ITALIANO GREAT FALL,,
DELFRISCO'S GRILLE,DELFRISCO'S GRILLE,,
DELFRISCO'S GRILL,DELFRISCO'S GRILL,,
DELFRISCO'S,DELFRISCO'S,,
DELECTABLE CAKERY,DELECTABLE CAKERY,,
DELCAMPO RESTAURANT,DELCAMPO RESTAURANT,,
DELCAMPO,DELCAMPO,,
"DELANEY, JOHN KEVIN","DELANEY, JOHN KEVIN",,
"DELANEY, JOHN K","DELANEY, JOHN K",,
DEL RAY PIZZERIA,DEL RAY PIZZERIA,,
DEL RAY MUSIC FESTIVAL,DEL RAY MUSIC FESTIVAL,,
DEL RAY MONOGRAMS,DEL RAY MONOGRAMS,,
DEL RAY CAFE,DEL RAY CAFE,,
DEL RAY BUSINESS ASSOCIATION,DEL RAY BUSINESS ASSOCIATION,y,
DEL MAR RESTAURANT,DEL MAR RESTAURANT,,
DEL MAR DE FABIO TRABOCCHI,DEL MAR DE FABIO TRABOCCHI,,
DEL MAR DC,DEL MAR DC,,
DEL MAR,DEL MAR,,
DEL GRANO,DEL GRANO,,
DEL FRISCOS GRILLE 8703,DEL FRISCOS GRILLE 8703,,
DEL FRISCOS GRILLE,DEL FRISCOS GRILLE,,
DEL FRISCOS GRILL,DEL FRISCOS GRILL,,
DEL FRISCOS DOUBLE EAGLE STEAKHOUSE,DEL FRISCOS DOUBLE EAGLE STEAKHOUSE,,
DEL FRISCOS DOUBLE EAGLE STEAK HOUSE,DEL FRISCOS DOUBLE EAGLE STEAK HOUSE,,
DEL FRISCOS DOUBLE EAGLE,DEL FRISCOS DOUBLE EAGLE,,
DEL FRISCOS DC,DEL FRISCOS DC,,
DEL FRISCOS,DEL FRISCOS,,
DEL FRISCO'S STEAKHOUSE,DEL FRISCO'S STEAKHOUSE,,
DEL FRISCO'S RESTAURANT,DEL FRISCO'S RESTAURANT,,
DEL FRISCO'S GRILLLE,DEL FRISCO'S GRILLLE,,
DEL FRISCO'S GRILLE DC,DEL FRISCO'S GRILLE DC,,
DEL FRISCO'S GRILLE #8703,DEL FRISCO'S GRILLE #8703,,
DEL FRISCO'S GRILLE,DEL FRISCO'S GRILLE,,
DEL FRISCO'S GRILL,DEL FRISCO'S GRILL,,
DEL FRISCO'S DOUBLEEAGLE STEAKHOUSE,DEL FRISCO'S DOUBLEEAGLE STEAKHOUSE,,
DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE,DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE,,
DEL FRISCO'S DOUBLE EAGLE STEAK HOUSE,DEL FRISCO'S DOUBLE EAGLE STEAK HOUSE,,
DEL FRISCO'S DOUBLE EAGLE,DEL FRISCO'S DOUBLE EAGLE,,
DEL FRISCO'S BAGLE,DEL FRISCO'S BAGLE,,
DEL FRISCO'S #8703,DEL FRISCO'S #8703,,
DEL FRISCO'S #8655,DEL FRISCO'S #8655,,
DEL FRISCO'S,DEL FRISCO'S,,
DEL FRISCO''S GRILLE,DEL FRISCO''S GRILLE,,
DEL FRISCO GRILLE,DEL FRISCO GRILLE,,
DEL FRISCO GRILL,DEL FRISCO GRILL,,
DEL FRISCO DOUBLE EAGLE STEAK,DEL FRISCO DOUBLE EAGLE STEAK,,
DEL FRISCO,DEL FRISCO,,
DEL FRINSCO'S,DEL FRINSCO'S,,
DEL FRESCO'S GRILL,DEL FRESCO'S GRILL,,
DEL CAMPO RESTAURANT,DEL CAMPO RESTAURANT,,
DEL CAMPO DC,DEL CAMPO DC,,
DEL CAMPO,DEL CAMPO,,
DEJA BREW CAFE,DEJA BREW CAFE,,
DEFAZIO'S CATERING,DEFAZIO'S CATERING,,
DEEPIKA MEHTA LLC,DEEPIKA MEHTA LLC,,
DECO RISTORANTE,DECO RISTORANTE,,
DECLIEU COFFEE AND SANDWICH SHOP,DECLIEU COFFEE AND SANDWICH SHOP,,
DECLARATION RESTAURANT,DECLARATION RESTAURANT,,
DECLARATION NATS PARK,DECLARATION NATS PARK,,
DECLARATION,DECLARATION,,
DECKER CONSULTING SERVICES,DECKER CONSULTING SERVICES,y,
DECKER CONSULTING,DECKER CONSULTING,y,
DECATUR HOUSE,DECATUR HOUSE,,
DECARLO'S RESTAURANT,DECARLO'S RESTAURANT,,
DECANTER AT ST. REGIS HOTEL,DECANTER AT ST. REGIS HOTEL,,
DECANTER,DECANTER,,
DECADES DC,DECADES DC,,
DEBORAH FELLMAN,DEBORAH FELLMAN,,
DEBBIE MOULTRY (NOUVEAU FLEUR),DEBBIE MOULTRY (NOUVEAU FLEUR),,
DEBBIE LEHARDY + COMPANY,DEBBIE LEHARDY + COMPANY,,
"DEBBIE LEHARDY & CO., LLC","DEBBIE LEHARDY & CO., LLC",y,
DEBBIE DINGELL,DEBBIE DINGELL,,
DEBAUFRE BAKERIES,DEBAUFRE BAKERIES,,
DEAN STEEL ERECTORS,DEAN STEEL ERECTORS,,
DEAN HINGSON,DEAN HINGSON,,
DEAN AND DELUCA GEORGETOWN,DEAN AND DELUCA GEORGETOWN,,
DEAN AND DELUCA,DEAN AND DELUCA,,
DEAN & DELUCA GEORGETOWN,DEAN & DELUCA GEORGETOWN,,
DEAN & DELUCA,DEAN & DELUCA,,
DEAN & DE LUCA INC,DEAN & DE LUCA INC,,
DEALERS CHOICE CASINOS,DEALERS CHOICE CASINOS,,
DEALERS CHOICE,DEALERS CHOICE,,
DEAF ACCESS SOLUTION,DEAF ACCESS SOLUTION,,
DE RICAN CHEF RESTAURANT,DE RICAN CHEF RESTAURANT,,
DE PARIS ENTERPRISES,DE PARIS ENTERPRISES,y,
DE LA PAVA FOR TREASURER,DE LA PAVA FOR TREASURER,y,
DE CLIEU COFFEE,DE CLIEU COFFEE,,
DD/BR #359701,DD/BR #359701,,
DD/BR,DD/BR,,
DCTASTE BOUTIQUE CATERING,DCTASTE BOUTIQUE CATERING,,
DCTASTE,DCTASTE,,
DCMC CATERING,DCMC CATERING,,
DCITY SMOKEHOUSE,DCITY SMOKEHOUSE,,
"DCI GROUP, LLC","DCI GROUP, LLC",y,
DCI GROUP AZ LLC.,DCI GROUP AZ LLC.,y,
DCCC,DCCC,y,
DCANTER WINE,DCANTER WINE BOUTIQUE,,
DCANTER WINE BOTIQUE,DCANTER WINE BOUTIQUE,,
DCANTER WINE BOUTIQUE,DCANTER WINE BOUTIQUE,,
DCANTER A WINE BOUTIQUE,DCANTER A WINE BOUTIQUE,,
DCANTER,DCANTER,,
DCACAR,DCACAR,,
"DCA VENTURES, LLC","DCA VENTURES, LLC",y,
DCA VENTURE,DCA VENTURE,,
DCA TAXI CAB,DCA TAXI CAB,y,
DCA TAXI,DCA TAXI,y,
DCA TAGLIARE FH,DCA TAGLIARE FH,,
DCA SAYSIBON,DCA SAYSIBON,,
DCA RONALD REAGAN IN'T AIRPORT,DCA RONALD REAGAN IN'T AIRPORT,,
DCA RIDE SAFE,DCA RIDE SAFE,,
DCA RESERVOIR,DCA RESERVOIR,,
DCA REAGAN DCA REAGA,DCA REAGAN DCA REAGA,,
DCA REAGAN,DCA REAGAN,,
DCA PARKING,DCA PARKING,y,
DCA PARADIES SHOPS,DCA PARADIES SHOPS,,
DCA FORBES SHOP,DCA FORBES SHOP,,
DCA AIRPORT,DCA AIRPORT,,
DCA,DCA,,
DC3 HOTDOG,DC3 HOTDOG,,
DC-3,DC3,,
DC YELLOW CAB,D.C. YELLOW CAB,y,
DC YACHT CHARTER & TOUR CO.,DC YACHT CHARTER & TOUR CO.,,
DC WINERY LLC,DC WINERY LLC,,
DC WINERY LLC DISTRICT WINERY,DC WINERY LLC,,
DC WINE GUY,DC WINE GUY,,
DC VIP CAB --,DC VIP CAB ,y,
DC VIP CAB,DC VIP CAB,,
DC VEGAN CATERING,DC VEGAN CATERING,,
DC VEGAN,DC VEGAN,,
DC USA PARKING,DC USA PARKING,y,
DC USA IN LINE,DC USA IN LINE,,
DC UNITED,DC UNITED,,
"DC TREASURER MARKET MANAGER, EASTERN MARKET","DC TREASURER MARKET MANAGER, EASTERN MARKET",y,
DC TREASURER,DC TREASURER,y,
DC TRAILS INC,DC TRAILS INC,,
DC THAI,DC THAI,,
DC TAXI,DC TAXI,y,
DC TAXI CAB,DC TAXI,y,
DC TAXICAB,DC TAXI,y,
DC TAXICAB 0001,DC TAXI,y,
"DC TASTE, LLC","DC TASTE, LLC",,
DC TASTE LLC,DC TASTE LLC,,
DC TASTE CATERING,DC TASTE CATERING,,
DC TASTE,DC TASTE,,
DC SWEET POTATO,DC SWEET POTATO,,
DC SPORTS/TENNIS,DC SPORTS/TENNIS,,
DC SOCCER LCC,DC SOCCER LCC,,
DC SLICES CATERING,DC SLICES CATERING,,
DC SLICES,DC SLICES,,
DC REPUBLICAN COMMITTEE FEDERAL CAMPAIGN COMMITTEE,DC REPUBLICAN COMMITTEE FEDERAL CAMPAIGN COMMITTEE,y,
DC PRIME STEAKS,DC PRIME STEAKS,,
DC POLLO PERUVIAN FOOD,DC POLLO PERUVIAN FOOD,,
DC PIZZA,DC PIZZA,,
DC PHOTOBOOTH,DC PHOTOBOOTH,y,
DC PATH TRANSPORTATION SE,DC PATH TRANSPORTATION SE,y,
"DC PARTY RENTALS, LLC","DC PARTY RENTALS, LLC",y,
"DC PARTY RENTALS, L.L.C.","DC PARTY RENTALS, L.L.C.",y,
DC PARTY RENTALS LLC,DC PARTY RENTALS LLC,,
DC PARTY RENTALS,DC PARTY RENTALS,,
DC PARTY RENTAL,DC PARTY RENTAL,,
DC PARKING METERS,DC PARKING METERS,y,
DC PARKING 0000,DC PARKING 0000,y,
DC OFFICE OF FINANCE AND TREASURY,DC OFFICE OF FINANCE AND TREASURY,,
DC NATIONAL CAB COMP,DC NATIONAL CAB COMP,y,
DC METRO COMMISSARY,DC METRO COMMISSARY,,
DC MEDITERRANEAN CORNER,DC MEDITERRANEAN CORNER,,
DC LIVERY 5600000184,DC LIVERY 5600000184,,
DC LABOR CHORUS,DC LABOR CHORUS,,
"DC I & G CAPITAL LESSEE LLC THE LIAISON CAPITOL HILL, AN AFFINIA HOTEL","DC I & G CAPITAL LESSEE LLC THE LIAISON CAPITOL HILL, AN AFFINIA HOTEL",,
DC I & G CAPITAL LESSEE LLC,DC I & G CAPITAL LESSEE LLC,,
DC HARVEST RESTAURANT,DC HARVEST RESTAURANT,,
DC HARVEST,DC HARVEST,,
DC GREEK FOOD,DC GREEK FOOD,,
DC GRAND CAB,DC GRAND CAB,,
DC FOR DEMOCRACY,DC FOR DEMOCRACY,,
DC FLY-INS,DC FLYINS,,
DC EVENT HUB,DC EVENT HUB,,
DC EMPANADAS,DC EMPANADAS,,
DC DENTAL SOCIETY,DC DENTAL SOCIETY,y,
DC DEMOCRATIC STATE COMMITTEE KENNEDYS KING DINNER,DC DEMOCRATIC STATE COMMITTEE KENNEDYS KING DINNER,y,
DC DEMOCRATIC STATE COMMITTEE (DCDSC),DC DEMOCRATIC STATE COMMITTEE (DCDSC),y,
DC DEMOCRATIC PARTY,DC DEMOCRATIC PARTY,,
DC COAST RESTURANT,DC COAST RESTURANT,,
DC COAST RESTAURANT,DC COAST RESTAURANT,,
DC COAST 0061       WASHINGTON,DC COAST 0061       WASHINGTON,,
DC COAST,DC COAST,,
DC CITY SMOKEHOUSE,DC CITY SMOKEHOUSE,,
DC CHOPHOUSE,DC CHOPHOUSE,,
DC CHOP HOUSE,DC CHOP HOUSE,,
DC CENTRAL KITCHEN INC.,DC CENTRAL KITCHEN INC.,,
DC CENTRAL KITCHEN,DC CENTRAL KITCHEN,,
DC CAP HOTELIER LLC,DC CAP HOTELIER LLC,,
"DC CAMERA, LLC","DC CAMERA, LLC",y,
DC CAMERA,DC CAMERA,,
DC CAB,DC CAB,,
DC BOAT CLUB,DC BOAT CLUB,,
DC BAR,DC BAR,,
"DC ARENA, LP","DC ARENA, LP",,
"DC ARENA, L.P.","DC ARENA, L.P.",,
DC ARENA LP,DC ARENA LP,,
DC ARENA L.P.,DC ARENA L.P.,,
DC AFL CIO C.O.P.E.,DC AFL CIO C.O.P.E.,,
DC 17TH ST,DC 17TH ST,,
DC 15TH ST,DC 15TH ST,,
DC 1001 PENNSYLVANIA AVE,DC 1001 PENNSYLVANIA AVE,,
DBGB,DBGD KITCHEN & BAR,,
DBGB DC,DBGD KITCHEN & BAR,,
DBGB KITCHEN,DBGD KITCHEN & BAR,,
DBGB KITCHEN & BAR,DBGD KITCHEN & BAR,,
DBGB KITCHEN AND BAR,DBGD KITCHEN & BAR,,
DBGB KITCHEN BAR,DBGD KITCHEN & BAR,,
DBGB KTICHEN & BAR,DBGD KITCHEN & BAR,,
DBGD KITCHEN & BAR,DBGD KITCHEN & BAR,,
DB MUSIC,DB MUSIC,,
DAYS INN WYTHEVILLE,DAYS INN WYTHEVILLE,,
DAYS INN,DAYS INN,,
"DAYNA FIELDS BLO, LLC","DAYNA FIELDS BLO, LLC",y,
DAWSON'S MARKET,DAWSON'S MARKET,,
DAWN PRICE BABY,DAWN PRICE BABY,,
DAWIT BELAY DAWIT BE,DAWIT BELAY DAWIT BE,,
DAVITA,DAVITA,,
DAVIS & HARMAN,"DAVIS AND HARTMAN, LLP",y,
DAVIS & HARMAN LLP,"DAVIS AND HARTMAN, LLP",y,
"DAVIS & HARMAN, LLP","DAVIS AND HARTMAN, LLP",y,
"DAVIS & HARMAN, LLP.","DAVIS AND HARTMAN, LLP",y,
DAVIS & HARMON,"DAVIS AND HARTMAN, LLP",y,
